Board,Pile,Tile,Score
1330,1,3,1
1141,1,1,8
1346,3,5,3
1041,3,1,31
1040,0,1,31
0151,2,4,75
1107,3,7,-16
1155,0,1,6
0105,3,1,12
0147,3,7,-4
1052,2,2,21
0127,3,6,-3
1255,0,1,56
0252,3,1,13
0302,1,1,86
0347,1,3,72
0044,2,4,7
0150,2,5,165
1156,2,3,13
1124,0,1,3
1310,1,3,-26
0337,2,3,61
0136,2,1,5
0352,1,1,4
0027,3,2,3
0015,3,1,-2
0053,3,2,27
0355,1,2,11
0231,3,1,27
1335,0,1,4
0332,1,2,4
0354,2,3,16
0304,3,2,9
1321,1,3,16
0157,2,2,48
0014,3,3,-38
1314,3,2,13
0312,3,1,9
1305,3,3,6
1317,3,3,16
1312,1,2,-3
1022,3,2,18
0024,3,3,5
0347,3,1,10
0345,2,1,-2
0315,3,2,1
1313,1,3,8
0353,2,4,27
0303,3,3,8
1343,1,3,14
1056,2,3,9
0026,2,1,2
0155,1,1,17
1207,3,1,-3
1237,3,4,4
1133,0,1,3
0213,2,1,29
1343,3,3,2
1240,2,3,10
1155,2,4,-6
1015,3,5,-8
1324,2,1,10
1304,3,1,3
0204,3,1,-6
1333,1,2,6
1033,3,1,-4
1155,2,3,6
1122,1,1,11
1315,3,4,10
1047,2,3,30
1016,3,4,6
1105,0,1,22
1207,3,6,21
0305,3,3,31
1153,2,4,4
0251,1,2,7
1253,1,1,5
1017,0,1,92
1343,3,2,16
1256,2,3,1
1126,1,1,15
0026,3,4,1
0347,3,3,44
0343,3,2,10
0235,1,2,14
0136,2,2,-6
0135,2,1,13
0105,3,2,2
0204,3,4,-12
1153,2,2,6
0133,1,1,24
0327,1,2,20
0122,3,2,11
1217,1,2,0
1015,2,1,34
0206,3,1,4
0045,3,1,-1
0024,2,1,35
1344,1,1,8
1241,2,3,10
1344,2,3,15
1304,1,2,2
0213,1,1,2
0125,3,1,6
0243,2,1,-3
0150,2,4,-42
1155,3,4,-6
1310,1,2,50
1254,3,2,12
1222,0,1,1
0221,2,2,33
1207,3,5,2
0043,3,3,2
1341,3,1,30
0317,3,2,12
0305,1,3,32
0034,3,1,31
0053,2,1,14
0347,2,3,34
1345,1,2,1
0321,1,3,4
0356,3,2,41
1317,3,2,26
0314,1,3,10
0104,3,3,-32
0313,3,2,28
0053,2,3,18
1031,3,1,0
1247,3,3,12
1044,2,3,10
1350,2,5,14
0207,3,6,41
1336,1,3,1
0036,3,3,8
0332,3,1,14
1154,0,1,28
0054,2,1,27
0013,3,1,59
0122,2,1,14
0017,3,6,-48
0016,3,2,-6
1326,3,6,3
0236,1,1,6
0134,1,1,6
1037,2,2,36
1256,2,4,3
1210,2,1,55
0327,3,4,4
1252,2,2,-3
1132,3,1,-1
1351,2,4,7
0312,2,1,25
1157,3,3,13
1104,3,4,-6
1153,3,2,5
1027,3,7,29
1227,3,6,17
1044,0,1,9
0227,2,1,11
1137,2,2,10
1115,2,1,3
0035,2,1,23
0023,2,1,47
1303,0,1,15
0036,2,2,6
0024,3,4,-18
1203,1,1,18
0347,3,4,32
0043,2,4,6
1050,2,2,39
0124,3,3,-4
1107,3,2,3
0105,1,1,24
0052,3,2,15
1337,2,1,20
0302,1,2,37
0351,1,3,58
0313,1,3,14
0251,1,1,5
1217,3,7,-8
0351,2,4,49
0115,3,4,15
1237,1,2,10
1250,2,4,11
0146,2,4,5
0330,2,3,-10
1053,3,2,-8
1021,0,1,32
1054,3,2,24
1137,3,7,6
1307,3,7,20
0257,2,3,38
0225,1,1,21
0115,3,1,3
0104,3,2,68
1313,2,1,-1
1103,3,3,-8
0232,1,1,13
1253,2,3,21
1123,3,1,5
0122,1,1,17
0314,3,2,7
0117,3,4,20
1055,2,2,6
0217,2,1,16
1353,2,2,-6
0313,3,3,6
0243,1,1,11
0333,2,2,4
0335,3,2,3
0033,3,1,20
0233,3,2,10
0221,1,2,25
0356,2,3,2
0026,2,2,19
1127,3,2,8
1115,3,4,-2
0115,1,1,10
